DATE,milk,hay,corn,beef
1999-12-01,2.875,135.0,87.2228376839286,88.875
2000-01-01,2.785,136.7,92.9532749553571,88.2
2000-02-01,2.777,142.8,95.0816190401786,89.05
2000-03-01,2.748,143.9,95.1693511057143,90.46
2000-04-01,2.773,148.9,95.5393729517857,90.05
2000-05-01,2.782,173.2,95.5305508928571,90.9
2000-06-01,2.763,158.1,84.0395145034014,88.0568181818182
2000-07-01,2.781,155.9,75.057375212585,86.9285714285714
2000-08-01,2.807,154.8,75.2405311428571,86.3913043478261
2000-09-01,2.809,160.9,80.150576268797,82.6919047619048
2000-10-01,2.805,165.5,84.7072744047619,82.875
2000-11-01,2.753,166.8,88.9371078282313,89.7159090909091
2000-12-01,2.785,167.9,96.2242037593985,88.15
2001-01-01,2.852,168.4,94.2972332706767,87.8068181818182
2001-02-01,2.847,173.8,92.3775148214285,87.5625
2001-03-01,2.76,172.8,91.0121535714286,91.0581818181818
2001-04-01,2.845,184.5,87.5450665178572,90.1125
2001-05-01,2.893,208.5,85.0775230867347,91.4886363636364
2001-06-01,2.911,190.0,83.1606659863946,94.4523809523809
2001-07-01,2.933,193.7,90.7546695436508,98.4545454545455
2001-08-01,2.89,193.7,92.8790316381988,101.804347826087
2001-09-01,2.941,195.5,89.7439884868421,107.25
2001-10-01,2.954,199.2,86.2677391304348,103.391304347826
2001-11-01,2.89,195.5,89.8825542410714,104.275
2001-12-01,2.895,188.2,92.3115151680672,100.833333333333
2002-01-01,2.812,186.3,91.9669605867347,101.045454545455
2002-02-01,2.807,183.5,90.728193843985,102.95
2002-03-01,2.816,182.3,89.8579491071429,109.025
2002-04-01,2.779,195.5,87.1066477678571,103.738636363636
2002-05-01,2.782,199.2,90.3313050170068,96.4673913043478
2002-06-01,2.768,188.2,93.1698001339286,93.8947368421053
2002-07-01,2.747,188.2,99.7000026785715,96.9047619047619
2002-08-01,2.72,186.3,109.891001785714,95.7272727272727
2002-09-01,2.728,188.2,113.941454196429,92.5625
2002-10-01,2.727,186.3,109.64680993323,86.967
2002-11-01,2.719,186.3,108.646429375,81.5625
2002-12-01,2.682,184.5,107.012648482143,84.0
2003-01-01,2.686,180.0,105.844256122449,85.35
2003-02-01,2.689,177.8,106.141079960317,83.75
2003-03-01,2.656,177.5,105.131878911565,83.875
2003-04-01,2.674,177.5,105.338093367347,82.625
2003-05-01,2.685,188.2,107.906400680272,79.3
2003-06-01,2.676,182.4,107.02530255102,78.25
2003-07-01,2.708,171.0,97.6706649659864,81.0
2003-08-01,2.666,167.9,100.349578214286,91.125
2003-09-01,2.904,164.2,103.238455272109,97.0
2003-10-01,2.905,163.8,104.205951552795,98.4
2003-11-01,2.937,162.3,108.10048487395,110.75
2003-12-01,2.947,162.1,111.992209586466,105.4
2004-01-01,2.879,162.1,116.245588293651,107.06
2004-02-01,2.814,156.2,122.932429135338,99.5
2004-03-01,2.786,158.5,128.460194875776,97.25
2004-04-01,2.906,171.0,133.439499659864,102.1
2004-05-01,3.374,201.1,129.285215714286,114.625
2004-06-01,3.574,188.2,123.278751020408,116.75
2004-07-01,3.479,181.5,104.49448877551,120.3
2004-08-01,3.297,179.7,104.0931375,126.75
2004-09-01,3.149,176.2,97.7269052721088,127.875
2004-10-01,3.161,180.4,93.4151484693877,119.5
2004-11-01,3.219,173.4,93.7585103383459,118.375
2004-12-01,3.233,170.5,95.6085204081633,116.8
2005-01-01,3.304,167.7,96.03875875,115.25
2005-02-01,3.176,169.5,94.3593936090225,117.375
2005-03-01,3.226,177.8,100.014011054422,120.0
2005-04-01,3.225,190.0,96.4708717687075,118.2
2005-05-01,3.207,214.0,95.364812414966,121.45
2005-06-01,3.122,206.6,97.6152767857143,120.325
2005-07-01,3.09,201.1,105.664287142857,122.6
2005-08-01,3.136,201.1,99.2866364285714,120.0
2005-09-01,3.133,197.4,97.0707683673469,120.3
2005-10-01,3.171,195.5,101.551246088435,116.5
2005-11-01,3.211,179.9,95.9797064285714,117.25
2005-12-01,3.241,180.2,102.676052210884,115.5
2006-01-01,3.197,176.4,102.7904075,113.625
2006-02-01,3.224,183.0,106.936502067669,114.75
2006-03-01,3.161,184.5,104.952080357143,111.9
2006-04-01,3.123,202.9,107.910347368421,112.575
2006-05-01,3.066,217.7,110.624682142857,112.5
2006-06-01,3.001,212.1,109.612356632653,111.7
2006-07-01,3.083,208.5,114.305610178571,115.125
2006-08-01,3.019,202.9,115.277289285714,117.625
2006-09-01,3.049,206.6,120.269894642857,117.5
2006-10-01,3.064,206.6,142.262410714286,117.875
2006-11-01,2.985,201.1,164.10640125,121.25
2006-12-01,3.004,206.6,160.720734821429,121.2
2007-01-01,3.067,212.1,165.160018984962,119.25
2007-02-01,3.083,215.8,177.384885526316,118.375
2007-03-01,3.072,221.4,169.583269727891,118.4
2007-04-01,3.135,236.1,152.630566785714,117.625
2007-05-01,3.259,265.6,160.139158928571,116.625
2007-06-01,3.427,252.7,164.537264484127,119.0
2007-07-01,3.736,252.7,147.216401315789,117.5
2007-08-01,3.807,252.7,151.030785714286,118.4
2007-09-01,3.841,249.0,160.125031578947,118.25
2007-10-01,3.838,252.7,164.114103726708,115.875
2007-11-01,3.904,249.0,171.113943392857,117.66
2007-12-01,3.87,250.9,180.283263655462,119.5
2008-01-01,3.871,249.0,206.558804323308,121.325
2008-02-01,3.869,254.6,220.047597744361,127.7
2008-03-01,3.781,263.8,233.925929285714,106.7
2008-04-01,3.799,289.6,246.6418625,103.75
2008-05-01,3.76,326.5,243.531773571429,124.2
2008-06-01,3.773,317.3,287.132070892857,129.5
2008-07-01,3.961,326.5,267.141454081633,133.0
2008-08-01,3.886,332.0,235.159466666667,135.5
2008-09-01,3.773,324.7,233.945613392857,129.4
2008-10-01,3.656,317.3,183.024702891156,115.916666666667
2008-11-01,3.734,300.7,164.304400210084,115.0
2008-12-01,3.681,285.9,158.909796964286,111.25
2009-01-01,3.575,274.9,173.295129931973,114.125
2009-02-01,3.319,263.8,163.399960515873,107.125
2009-03-01,3.116,252.7,164.577030357143,112.375
2009-04-01,3.084,245.3,168.795905442177,115.5
2009-05-01,3.068,254.6,180.070212142857,119.6
2009-06-01,3.009,236.1,179.393794642857,122.125
2009-07-01,2.992,221.4,151.800255357143,124.0
2009-08-01,2.979,204.8,152.036294217687,124.0
2009-09-01,2.981,202.9,150.592793027211,124.125
2009-10-01,3.046,201.1,167.279121428571,120.5
2009-11-01,3.034,202.9,171.686854511278,125.0
2009-12-01,3.105,202.9,164.612819642857,127.0
2010-01-01,3.236,208.5,167.335630827068,133.875
2010-02-01,3.203,204.8,161.906961278196,141.75
2010-03-01,3.188,204.8,158.927769409938,152.1
2010-04-01,3.14,208.5,157.266642687075,164.75
2010-05-01,3.178,223.2,163.240300535714,157.75
2010-06-01,3.297,219.5,152.873933928571,144.805555555556
2010-07-01,3.313,215.8,163.921745578231,145.386363636364
2010-08-01,3.303,214.0,175.600130357143,152.5
2010-09-01,3.278,215.8,205.839520408163,152.5
2010-10-01,3.321,217.7,235.703122959184,154.75
2010-11-01,3.327,215.8,238.23674875,156.5
2010-12-01,3.318,223.2,250.62555085034,173.027777777778
2011-01-01,3.301,223.2,265.285523979592,185.625
2011-02-01,3.357,234.3,293.396796992481,183.725
2011-03-01,3.503,250.9,290.43472173913,187.717391304348
2011-04-01,3.597,285.9,318.938776020408,193.0
2011-05-01,3.653,343.1,308.575221428571,184.113636363636
2011-06-01,3.622,332.0,310.536474285714,178.363636363636
2011-07-01,3.654,348.6,300.832209464286,177.761904761905
2011-08-01,3.713,352.3,310.307111645963,180.847826086957
2011-09-01,3.715,361.6,296.299496428571,175.931818181818
2011-10-01,3.622,374.5,274.846376020408,174.28125
2011-11-01,3.557,365.3,274.278348928571,186.681818181818
2011-12-01,3.565,367.1,258.51794047619,190.090909090909
2012-01-01,3.583,354.2,272.920145535714,190.931818181818
2012-02-01,3.52,365.3,279.514321428571,194.095238095238
2012-03-01,3.499,370.8,280.715051964286,194.363636363636
2012-04-01,3.474,381.9,274.219296607143,192.095238095238
2012-05-01,3.427,396.6,268.884903571429,187.304347826087
2012-06-01,3.396,370.8,267.328921768707,183.595238095238
2012-07-01,3.428,365.3,332.99885255102,180.363636363636
2012-08-01,3.474,374.5,332.233495341615,183.130434782609
2012-09-01,3.469,378.2,320.705905639098,180.25
2012-10-01,3.524,391.1,321.382417321428,181.54347826087
2012-11-01,3.536,396.6,321.596870488722,192.022727272727
2012-12-01,3.58,400.3,308.75040056391,195.619047619048
2013-01-01,3.526,400.3,303.36021122449,195.391304347826
2013-02-01,3.48,402.1,302.61034047619,194.275
2013-03-01,3.431,404.0,309.579205075188,191.785714285714
2013-04-01,3.428,396.6,279.764846428571,191.681818181818
2013-05-01,3.441,407.7,295.368975,179.586956521739
2013-06-01,3.458,405.8,297.111913214286,174.25
2013-07-01,3.449,385.5,279.013271428571,176.583333333333
2013-08-01,3.448,368.9,234.938766071429,176.264705882353
2013-09-01,3.428,357.9,207.490173392857,175.595238095238
2013-10-01,3.462,356.0,201.779992857143,178.065217391304
2013-11-01,3.491,346.8,199.182444172932,183.309523809524
2013-12-01,3.501,345.0,197.553448639456,185.954545454545
2014-01-01,3.552,341.3,198.771988605442,187.45652173913
2014-02-01,3.561,346.8,209.356019548872,190.25
2014-03-01,3.669,352.3,222.392917176871,197.761904761905
2014-04-01,3.687,380.0,222.430410714286,191.227272727273
2014-05-01,3.735,413.2,216.975101020408,194.545454545455
2014-06-01,3.626,409.5,202.633822959184,200.785714285714
2014-07-01,3.645,398.5,182.29451625,227.5
2014-08-01,3.673,385.5,176.482080612245,258.857142857143
2014-09-01,3.732,363.4,163.134381292517,272.295454545455
2014-10-01,3.766,357.9,163.378089285714,266.934782608696
2014-11-01,3.858,339.4,178.708535084034,261.5
2014-12-01,3.82,337.6,178.712946088435,239.586956521739
2015-01-01,3.758,321.0,174.794871428571,232.022727272727
2015-02-01,3.496,317.3,173.758865789474,209.875
2015-03-01,3.463,317.3,174.293821428571,207.795454545455
2015-04-01,3.397,339.4,172.151577040816,214.431818181818
2015-05-01,3.387,354.2,166.350389464286,199.214285714286
2015-06-01,3.366,328.4,166.813860714286,195.045454545455
2015-07-01,3.43,311.8,179.608530357143,204.413043478261
2015-08-01,3.389,293.3,162.74069914966,212.0
2015-09-01,3.392,289.6,166.077623979592,202.409090909091
2015-10-01,3.338,294.9,171.448573214286,184.545454545455
2015-11-01,3.299,294.4,166.09242406015,177.071428571429
2015-12-01,3.31,265.0,164.004401785714,167.108695652174
2016-01-01,3.313,263.5,161.098876879699,159.071428571429
2016-02-01,3.23,284.2,159.716845357143,171.309523809524
2016-03-01,3.187,273.3,159.226532142857,176.195652173913
2016-04-01,3.155,248.9,164.465401870748,176.904761904762
2016-05-01,3.157,229.6,169.002119897959,179.454545454545
2016-06-01,3.115,267.1,179.912739285714,181.454545454545
2016-07-01,3.062,241.2,161.823044821429,187.738095238095
2016-08-01,3.141,237.5,150.21541242236,185.608695652174
2016-09-01,3.229,221.6,148.51190170068,182.886363636364
2016-10-01,3.292,227.1,152.617444047619,180.761904761905
2016-11-01,3.28,224.3,151.331415714286,183.136363636364
2016-12-01,3.29,227.9,152.729924659864,173.977272727273
2017-01-01,3.318,246.9,160.012106964286,176.772727272727
2017-02-01,3.3,264.1,162.962535912698,184.6
2017-03-01,3.315,240.7,158.979119254658,190.173913043478
2017-04-01,3.259,242.1,156.540452067669,192.875
2017-05-01,3.242,238.0,158.600219642857,200.413043478261
2017-06-01,3.213,248.5,157.973907142857,206.159090909091
2017-07-01,3.219,269.8,157.610645892857,205.452380952381
2017-08-01,3.168,284.6,148.543430357143,189.04347826087
2017-09-01,3.209,245.7,147.315857857143,188.690476190476
2017-10-01,3.158,282.7,148.722376785714,189.477272727273
2017-11-01,3.15,273.9,148.792165892857,190.136363636364
2017-12-01,3.155,294.1,149.0874275,184.333333333333
2018-01-01,2.961,311.2,155.916875340136,188.04347826087
2018-02-01,2.923,307.6,163.460969736842,194.825
2018-03-01,2.903,313.1,172.076589965986,193.909090909091
2018-04-01,2.924,308.2,175.600982482993,190.809523809524
2018-05-01,2.919,315.7,179.179058928571,188.0
2018-06-01,2.877,332.0,165.140285544218,185.547619047619
2018-07-01,2.839,302.5,156.55426547619,182.863636363636
2018-08-01,2.871,309.6,162.522258540373,179.978260869565
2018-09-01,2.89,305.8,154.945003383459,176.125
2018-10-01,2.913,312.8,160.365565062112,168.369565217391
2018-11-01,2.877,327.6,160.878207678571,171.022727272727
2018-12-01,2.853,352.6,167.489880555556,183.190476190476
2019-01-01,2.913,318.2,166.846241496599,185.95652173913
2019-02-01,2.9,351.7,169.656283458647,188.6
2019-03-01,2.944,328.9,166.321331972789,194.357142857143
2019-04-01,2.98,342.5,161.653386564626,208.295454545455
2019-05-01,2.963,343.4,171.180153571429,200.326086956522
2019-06-01,3.054,323.5,195.167922321429,202.625
2019-07-01,3.031,310.4,189.486373214286,204.652173913043
2019-08-01,3.045,303.4,163.628614285714,204.227272727273
2019-09-01,3.102,308.4,157.374436607143,205.619047619048
2019-10-01,3.119,323.9,167.297794099379,212.804347826087
2019-11-01,3.189,306.4,166.361785526316,258.333333333333
2019-12-01,3.188,310.6,167.059017321429,250.568181818182
2020-01-01,3.253,328.6,171.814135204082,212.5
2020-02-01,3.196,323.4,168.744598496241,206.875
2020-03-01,3.248,310.6,162.179148214286,192.386363636364
2020-04-01,3.267,327.6,147.012160204082,195.431818181818
2020-05-01,3.21,296.5,143.98924375,214.904761904762
2020-06-01,3.198,308.4,148.042380357143,215.727272727273
2020-07-01,3.255,298.3,152.587619642857,199.304347826087
2020-08-01,3.406,294.4,149.392999829932,200.428571428571
2020-09-01,3.448,280.2,166.602533503401,197.727272727273
2020-10-01,3.38,295.0,186.7663875,190.045454545455
2020-11-01,3.425,319.2,190.625037593985,190.785714285714
2020-12-01,3.535,323.1,199.184417517007,189.108695652174
2021-01-01,3.468,322.7,231.754461466165,197.095238095238
2021-02-01,3.368,322.8,245.554056578947,204.625
2021-03-01,3.348,326.9,245.760356832298,205.282608695652
2021-04-01,3.447,336.8,268.622448809524,224.818181818182
2021-05-01,3.497,338.0,304.297549659864,239.952380952381
2021-06-01,3.557,359.8,292.523726785714,246.977272727273
2021-07-01,3.627,383.168,278.445755612245,245.681818181818
2021-08-01,3.56,388.118,257.020755357143,247.136363636364
2021-09-01,3.585,420.998,235.815603571429,249.25
2021-10-01,3.663,426.823,239.60245085034,251.285714285714
2021-11-01,3.671,437.996,248.767746071429,258.454545454545
